timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1775321589641,64,Login with bob@test.com,200,OK,Thread Group 1-32,text,true,,352,228,100,100,http://localhost:3000/api/login,64,0,1
1775321589767,3,Login with eve@test.com,200,OK,Thread Group 1-65,text,true,,352,228,100,100,http://localhost:3000/api/login,3,0,1
1775321589719,21,Login with diana@test.com,200,OK,Thread Group 1-14,text,true,,356,230,100,100,http://localhost:3000/api/login,21,0,2
1775321589605,97,Login with alice@test.com,200,OK,Thread Group 1-51,text,true,,356,230,100,100,http://localhost:3000/api/login,97,0,31
1775321589571,133,Login with eve@test.com,200,OK,Thread Group 1-10,text,true,,351,228,100,100,http://localhost:3000/api/login,132,0,65
1775321589733,13,Login with alice@test.com,200,OK,Thread Group 1-16,text,true,,356,230,100,100,http://localhost:3000/api/login,13,0,1
1775321589685,25,Login with charlie@test.com,200,OK,Thread Group 1-13,text,true,,360,232,100,100,http://localhost:3000/api/login,25,0,2
1775321589726,18,Login with alice@test.com,200,OK,Thread Group 1-46,text,true,,356,230,100,100,http://localhost:3000/api/login,17,0,2
1775321589647,59,Login with bob@test.com,200,OK,Thread Group 1-3,text,true,,352,228,100,100,http://localhost:3000/api/login,59,0,1
1775321589660,48,Login with charlie@test.com,200,OK,Thread Group 1-43,text,true,,359,232,100,100,http://localhost:3000/api/login,48,0,1
1775321589571,131,Login with charlie@test.com,200,OK,Thread Group 1-4,text,true,,359,232,100,100,http://localhost:3000/api/login,131,0,65
1775321589797,3,Login with bob@test.com,200,OK,Thread Group 1-47,text,true,,352,228,100,100,http://localhost:3000/api/login,3,0,1
1775321589880,3,Login with bob@test.com,200,OK,Thread Group 1-42,text,true,,351,228,100,100,http://localhost:3000/api/login,3,0,1
1775321589905,3,Login with diana@test.com,200,OK,Thread Group 1-59,text,true,,356,230,100,100,http://localhost:3000/api/login,3,0,1
1775321589935,5,Login with bob@test.com,200,OK,Thread Group 1-67,text,true,,352,228,100,100,http://localhost:3000/api/login,5,0,2
1775321589938,7,Login with bob@test.com,200,OK,Thread Group 1-72,text,true,,351,228,100,100,http://localhost:3000/api/login,7,0,2
1775321589957,4,Login with alice@test.com,200,OK,Thread Group 1-76,text,true,,356,230,100,100,http://localhost:3000/api/login,4,0,2
1775321589980,3,Login with eve@test.com,200,OK,Thread Group 1-40,text,true,,351,228,100,100,http://localhost:3000/api/login,3,0,1
1775321590004,5,Login with eve@test.com,200,OK,Thread Group 1-45,text,true,,352,228,100,100,http://localhost:3000/api/login,5,0,2
1775321590015,4,Login with alice@test.com,200,OK,Thread Group 1-71,text,true,,355,230,100,100,http://localhost:3000/api/login,4,0,1
1775321590049,5,Login with diana@test.com,200,OK,Thread Group 1-64,text,true,,355,230,100,100,http://localhost:3000/api/login,5,0,2
1775321590069,5,Login with bob@test.com,200,OK,Thread Group 1-12,text,true,,352,228,100,100,http://localhost:3000/api/login,5,0,1
1775321590069,7,Login with charlie@test.com,200,OK,Thread Group 1-78,text,true,,360,232,100,100,http://localhost:3000/api/login,7,0,1
1775321590085,5,Login with eve@test.com,200,OK,Thread Group 1-60,text,true,,351,228,100,100,http://localhost:3000/api/login,5,0,2
1775321590117,5,Login with charlie@test.com,200,OK,Thread Group 1-73,text,true,,360,232,100,100,http://localhost:3000/api/login,5,0,2
1775321590117,7,Login with bob@test.com,200,OK,Thread Group 1-22,text,true,,351,228,100,100,http://localhost:3000/api/login,7,0,2
1775321590119,10,Login with diana@test.com,200,OK,Thread Group 1-69,text,true,,356,230,100,100,http://localhost:3000/api/login,10,0,2
1775321590122,8,Login with charlie@test.com,200,OK,Thread Group 1-63,text,true,,360,232,100,100,http://localhost:3000/api/login,8,0,2
1775321590142,4,Login with alice@test.com,200,OK,Thread Group 1-1,text,true,,356,230,100,100,http://localhost:3000/api/login,4,0,1
1775321590156,4,Login with eve@test.com,200,OK,Thread Group 1-90,text,true,,352,228,100,100,http://localhost:3000/api/login,4,0,1
1775321590169,4,Login with diana@test.com,200,OK,Thread Group 1-24,text,true,,355,230,100,100,http://localhost:3000/api/login,4,0,1
1775321590200,2,Login with alice@test.com,200,OK,Thread Group 1-26,text,true,,356,230,100,100,http://localhost:3000/api/login,2,0,0
1775321590203,2,Login with diana@test.com,200,OK,Thread Group 1-44,text,true,,357,230,100,100,http://localhost:3000/api/login,2,0,1
1775321590204,2,Login with charlie@test.com,200,OK,Thread Group 1-98,text,true,,360,232,100,100,http://localhost:3000/api/login,2,0,1
1775321590213,3,Login with alice@test.com,200,OK,Thread Group 1-91,text,true,,356,230,100,100,http://localhost:3000/api/login,3,0,1
1775321590218,3,Login with bob@test.com,200,OK,Thread Group 1-5,text,true,,352,228,100,100,http://localhost:3000/api/login,3,0,1
1775321590218,4,Login with bob@test.com,200,OK,Thread Group 1-92,text,true,,351,228,100,100,http://localhost:3000/api/login,4,0,1
1775321590218,5,Login with charlie@test.com,200,OK,Thread Group 1-8,text,true,,360,232,100,100,http://localhost:3000/api/login,5,0,1
1775321590270,3,Login with bob@test.com,200,OK,Thread Group 1-62,text,true,,352,228,100,100,http://localhost:3000/api/login,3,0,1
1775321590291,4,Login with eve@test.com,200,OK,Thread Group 1-30,text,true,,352,228,100,100,http://localhost:3000/api/login,4,0,1
1775321590303,4,Login with charlie@test.com,200,OK,Thread Group 1-28,text,true,,360,232,100,100,http://localhost:3000/api/login,4,0,1
1775321590326,5,Login with alice@test.com,200,OK,Thread Group 1-21,text,true,,357,230,100,100,http://localhost:3000/api/login,5,0,2
1775321590345,5,Login with eve@test.com,200,OK,Thread Group 1-35,text,true,,351,228,100,100,http://localhost:3000/api/login,5,0,1
1775321590353,6,Login with eve@test.com,200,OK,Thread Group 1-25,text,true,,352,228,100,100,http://localhost:3000/api/login,6,0,2
1775321590357,6,Login with eve@test.com,200,OK,Thread Group 1-70,text,true,,352,228,100,100,http://localhost:3000/api/login,6,0,2
1775321590365,4,Login with bob@test.com,200,OK,Thread Group 1-77,text,true,,352,228,100,100,http://localhost:3000/api/login,4,0,2
1775321590389,3,Login with alice@test.com,200,OK,Thread Group 1-31,text,true,,356,230,100,100,http://localhost:3000/api/login,3,0,1
1775321590422,3,Login with diana@test.com,200,OK,Thread Group 1-94,text,true,,356,230,100,100,http://localhost:3000/api/login,3,0,1
1775321590428,3,Login with charlie@test.com,200,OK,Thread Group 1-33,text,true,,360,232,100,100,http://localhost:3000/api/login,3,0,1
1775321590464,4,Login with alice@test.com,200,OK,Thread Group 1-41,text,true,,356,230,100,100,http://localhost:3000/api/login,4,0,1
1775321590479,3,Login with alice@test.com,200,OK,Thread Group 1-2,text,true,,355,230,100,100,http://localhost:3000/api/login,3,0,1
1775321590567,4,Login with bob@test.com,200,OK,Thread Group 1-97,text,true,,352,228,100,100,http://localhost:3000/api/login,4,0,2
1775321590580,4,Login with diana@test.com,200,OK,Thread Group 1-9,text,true,,355,230,100,100,http://localhost:3000/api/login,4,0,1
1775321590626,4,Login with diana@test.com,200,OK,Thread Group 1-29,text,true,,356,230,100,100,http://localhost:3000/api/login,3,0,1
1775321590640,5,Login with eve@test.com,200,OK,Thread Group 1-55,text,true,,352,228,100,100,http://localhost:3000/api/login,5,0,2
1775321590728,4,Login with bob@test.com,200,OK,Thread Group 1-17,text,true,,352,228,100,100,http://localhost:3000/api/login,4,0,2
1775321590757,4,Login with alice@test.com,200,OK,Thread Group 1-11,text,true,,355,230,100,100,http://localhost:3000/api/login,4,0,1
